"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.!",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need..",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need..",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent.!",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321..",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321.!",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!!",1
"Emergency O- blood dorkar!
Patient ICU te admit, Dhaka Medical College
Contact: 01812345678, please respond quickly..",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321..",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.!",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন.!",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need.",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!!",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789..",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent..",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!!",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!",1
"Urgent need of 3 bags of A+ blood at Green Life Hospital.
Patient critical condition, please help!
Contact: 01723456789.",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.!",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321.!",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.!",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন.!",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent.!",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.!",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need.!",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.!",1
"Emergency O- blood dorkar!
Patient ICU te admit, Dhaka Medical College
Contact: 01812345678, please respond quickly..",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321.!",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!",1
"Emergency O- blood dorkar!
Patient ICU te admit, Dhaka Medical College
Contact: 01812345678, please respond quickly..",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179!",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন..",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need.!",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন.!",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!!",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent..",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321..",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent.",1
"B (-) Negative Blood urgent darkar.

Patient Ghatal hospital e admit.
কেউ ডোনেট করতে ইচ্ছুক থাকে Please যোগাযোগ করুন..",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent.!",1
"Friend er father er jonno B+ blood lagbe quickly!
Location: Apollo Hospital, Bashundhara.
Contact: 01887654321..",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need..",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179.",1
"Emergency! Need O+ blood for a 10-year-old child at Mirpur Child Hospital.
Contact: 01987654321..",1
"আমার বন্ধু Jannatu Nayem Evan এর জন্য ইমার্জেন্সি O+ blood লাগবে
Emergency 10 bag O+ blood lagbe
Onk serious obostha amar friend er.
Blood group: O+
Amount: 10 bag
Hospital: Evercare Hospital
Location: Bashundhara
Please help. It's urgent.
Mobile: 01719337179!",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!.",1
"AB+ blood lagbe operation er jonno, Central Hospital Dhaka te.
Contact: 01677123456, urgent need..",1
"Urgent need of 3 bags of A+ blood at Green Life Hospital.
Patient critical condition, please help!
Contact: 01723456789.!",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.",1
"Urgent A- blood dorkar
Location: Mirpur 10 Ajmol hospital
Contact: 01932993314
Admin please approve this post fast, urgent..",1
"Emergency O- blood dorkar!
Patient ICU te admit, Dhaka Medical College
Contact: 01812345678, please respond quickly.!",1
"Rokto dorkar ekta patient er jonno ICU te.
Group: B+
Location: Square Hospital, Dhanmondi.
Contact: 01823456789.",1
"Please donate AB- blood, operation cholche Ekushey Medical e.
Need 2 bags.
Contact: 01512345678, urgent!!",1
